Date,Open,High,Low,Close,Adj Close, Volume 
10/3/2017,169.3,170.73,169.2,169.96,169.96,"8,190,300"
10/4/2017,169.83,170.67,168.29,168.42,168.42,"12,127,900"
10/5/2017,169.18,171.31,168.6,171.24,171.24,"14,580,600"
10/6/2017,170.25,172.37,169.75,172.23,172.23,"13,124,500"
10/9/2017,172.7,174.88,172,172.5,172.5,"14,570,400"
10/10/2017,173,173.2,170.8,171.59,171.59,"11,341,100"
10/11/2017,171.95,172.78,171.4,172.74,172.74,"11,283,700"
10/12/2017,172.61,173.85,172.29,172.55,172.55,"10,351,000"
10/13/2017,173.45,174.65,173.2,173.74,173.74,"13,658,300"
10/16/2017,174.49,175,174.06,174.52,174.52,"11,498,800"
10/17/2017,174.71,176.13,174.36,176.11,176.11,"15,990,100"
10/18/2017,176.65,176.74,175.75,176.03,176.03,"12,752,400"
10/19/2017,174.93,176.03,172.63,174.56,174.56,"14,048,400"
10/20/2017,175.5,175.88,174.63,174.98,174.98,"12,602,200"
10/23/2017,175.2,175.34,171.25,171.27,171.27,"13,852,700"
10/24/2017,172.3,173.24,171.5,171.8,171.8,"12,267,900"
10/25/2017,171.9,172.25,168.89,170.6,170.6,"15,868,200"
10/26/2017,171.38,172.29,170.39,170.63,170.63,"11,833,100"
10/27/2017,174.15,178.21,173.9,177.88,177.88,"30,285,300"
10/30/2017,179.26,180.69,177.61,179.87,179.87,"24,353,200"
10/31/2017,180.57,180.8,178.94,180.06,180.06,"20,174,200"
11/1/2017,182.36,182.9,180.57,182.66,182.66,"40,918,300"
11/2/2017,180.63,181.94,177.34,178.92,178.92,"35,529,900"
11/3/2017,179.29,179.86,176.71,178.92,178.92,"17,822,100"
11/6/2017,178.56,180.45,178.31,180.17,180.17,"13,312,700"
11/7/2017,180.5,180.75,178.96,180.25,180.25,"12,928,200"
11/8/2017,179.79,180.35,179.11,179.56,179.56,"10,494,100"
11/9/2017,178.31,179.4,177.09,179.3,179.3,"12,610,300"
11/10/2017,178.35,179.1,177.96,178.46,178.46,"11,070,200"
11/13/2017,177.5,179.04,177.3,178.77,178.77,"9,523,400"
11/14/2017,178.13,178.97,177.18,178.07,178.07,"9,585,900"
11/15/2017,176.66,178.57,176.4,177.95,177.95,"10,253,700"
11/16/2017,178.76,179.83,178.5,179.59,179.59,"15,607,600"
11/17/2017,179.3,179.98,178.9,179,179,"13,018,000"
11/20/2017,178.87,179.5,178.1,178.74,178.74,"10,052,400"
11/21/2017,179.15,181.89,178.99,181.86,181.86,"14,504,000"
11/22/2017,181.3,181.73,180.44,180.87,180.87,"10,376,300"
11/24/2017,180.4,183.15,180.29,182.78,182.78,"9,426,300"
11/27/2017,182.56,183.73,181.99,183.03,183.03,"12,344,500"
11/28/2017,183.51,184.25,182.09,182.42,182.42,"14,379,700"
11/29/2017,181.89,181.97,174,175.13,175.13,"41,933,500"
11/30/2017,176.85,178.28,175.2,177.18,177.18,"25,307,600"
12/1/2017,176.03,177.48,172.34,175.1,175.1,"20,182,500"
12/4/2017,176.29,176.57,170.79,171.47,171.47,"24,459,400"
12/5/2017,170.45,175.38,169.01,172.83,172.83,"20,184,900"
12/6/2017,172.5,176.77,171.9,176.06,176.06,"20,255,800"
12/7/2017,175.8,180.39,175.8,180.14,180.14,"20,404,500"
12/8/2017,181.53,182.28,178.74,179,179,"19,883,800"
12/11/2017,179.3,180.22,178.8,179.04,179.04,"13,168,600"
12/12/2017,178.6,179.18,176.6,176.96,176.96,"16,854,100"
12/13/2017,177.3,179.16,177.25,178.3,178.3,"14,615,700"
12/14/2017,178.29,180.36,177.68,178.39,178.39,"13,591,000"
12/15/2017,179.02,180.49,178.36,180.18,180.18,"28,463,100"
12/18/2017,181.01,181.3,179.75,180.82,180.82,"17,265,400"
12/19/2017,179.95,180.08,178.22,179.51,179.51,"14,920,600"
